name,num_films
Victor Sjöström,13
William A. Wellman,44
John Cromwell,20
Dimitri Tiomkin,2
Archie Mayo,18
Busby Berkeley,18
Henry Koster,33
James Edward Grant,1
Lewis Milestone,23
Maurie M. Suess,2
Howard Hughes,2
George A. Romero,16
Lambert Williamson,1
John Arnold,2
John Hoesli,1
Robert Sterne,1
Jeanie Sims,1
Richard Brooks,21
Victor Schertzinger,6
Frank Borzage,26
Lew Borzage,10
Charles Griffin,2
Arthur Jacobson,5
Edwin L. Marin,17
Thaddeus O'Sullivan,4
Clodagh Conroy,1
Corey Yuen Kwai,14
Joshua Logan,9
Carter De Haven Jr.,4
Chris Newby,1
Richard Schenkman,5
Allan Miller,1
Carroll Ballard,6
Lance Young,1
Ringo Lam,7
Amy Holden Jones,3
Matthew Broderick,1
Stanley Tucci,4
Campbell Scott,4
Robert M. Young,9
John Herzfeld,7
Reb Braddock,1
René Gainville,1
John Walsh,1
John Gray,7
Robert Lieberman,12
Norman Tokar,12
Buddy Baker,1
Norman Foster,16
John Hough,16
Robert Stevenson,29
David Swift,6
Duwayne Dunham,7
Charles Barton,11
Ken Annakin,22
Richard Fleischer,35
C.O. Slyfield,2
William Dear,13
Clyde Geronimi,13
Wilfred Jackson,15
Ollie Johnston,4
Marc Davis,1
John Lounsbery,6
Les Clark,5
Norman Ferguson,4
Paul J. Smith,1
Charles Wolcott,1
William Roberts,6
Edward Plumb,2
Jack Kinney,14
Harold Young,5
Don Bluth,13
Harold D. Schuster,3
Samuel Armstrong,3
Don Chaffey,10
Ted Berman,2
Art Stevens,2
Don Hahn,3
Mark A. Hester,1
Terry L. Noss,2
Matthew Bright,4
Robert Wise,37
Ridgeway Callow,1
William J. Durrell Jr.,1
Craig Edgar,1
Brent Boates,2
Nick Cassavetes,7
Iara Lee,2
Tom Hanks,3
Michael Pressman,8
Joseph Bologna,1
Hettie MacDonald,1
Al Pacino,3
Steve Buscemi,4
Ismail Merchant,6
John McNaughton,9
Jerome Borenstein,1
Genka Emili,1
Leon Ichaso,6
Baz Luhrmann,5
Doug Liman,9
Michael Cimino,8
Scott Silver,2
Tad Stones,5
Eddy Houchins,1
Marsh Lamore,5
Dale Case,2
John Kimball,2
Rick Leon,3
George Pollock,15
Anthony Asquith,15
Argyle Nelson,7
Edward Dmytryk,31
Josef von Sternberg,19
Nicholas Ray,23
Aaron Kim Johnston,1
Mel Stuart,4
Jan Bucquoy,1
Jack Clayton,8
Charles Crichton,9
Terry Jones,7
Jonathan Benson,3
Mohammed Azounadhea,1
Arthur Penn,15
Jack N. Reddish,2
John Sturges,29
Mel Dellar,3
Frédéric Mitterrand,1
Emile Ardolino,6
Kevin Lee Allen,1
Tommy Allen,1
Jamie Beardsley,1
H. Gordon Boos,1
Pepito Diaz,1
Tim Minear,1
Ted Kotcheff,18
Alan J. Pakula,14
Sam Henry Kass,1
Michael Covert,2
Ray Heindorf,2
Bertram Tuttle,4
Greg Spence,2
Hugo Van Lawick,1
Michael Kreihsl,1
Temístocles López,1
Claude Nuridsany,2
Marie Pérennou,2
Alan Taylor,4
Chris Cullari,1
Benoît Jacquot,11
Jaco Van Dormael,5
Nils Gaup,5
Peter Cohn,1
Miloš Forman,13
Rich Wilkes,1
R. J. Cutler,3
David Van Taylor,2
Mark Rydell,12
Bert Batt,4
Guy Sauteret,1
Ate de Jong,5
Dan Webster,6
Newt Arnold,11
Peter Childs,3
Randy Moore,2
Joe Dante,17
Gustavo Graef-Marino,2
Howard Zieff,9
Bruce LaBruce,5
Rick Castro,1
Russ Hexter,1
Sharon Pollack,1
Michael Ray Rhodes,2
Raúl Ruiz,18
Susan W. Dryfoos,1
John L'Ecuyer,2
Leon Gast,5
Daniel Vigne,1
Jan Švankmajer,13
Anthony Mann,35
Alfred L. Werker,9
Vittorio De Sica,25
Luisa Alessandri,5
Paolo Moffa,2
Lidia C. Ripandelli,1
Ugo Amadoro,1
Vittorio Cottafavi,2
Jean Delannoy,7
Norman Z. McLeod,21
Elliott Nugent,13
Volker Schlöndorff,27
Martine Dugowson,2
Isabelle Pons,1
Charles L. Bitsch,2
Nina Menkes,2
Eric Red,5
Barbara Kopple,9
Cathy Caplan,1
Tom Haneke,1
Lawrence Silk,1
Phillip Rhee,2
Giuseppe Giglietti,2
Peter Greenaway,18
Michel Blanc,2
Franz-Josef Spieker,1
Hans Stumpf,1
Peter Chelsom,9
Fred Olen Ray,18
Gabriele Salvatores,14
Kevan Barker,1
Mark Geraghty,1
Errol Morris,11
Mark Aldo Miceli,1
Jennie Livingston,1
Irby Smith,2
Lou Adler,3
Gary Kurtz,1
Irvin Kershner,12
David Tomblin,2
Steve Lanning,3
Keith Pain,6
Françoise Benoît-Fresco,1
Dennis Bosher,2
Terry Ackland-Snow,1
Sergio Leone,11
Carlo Leva,1
Fabrizio Gianni,3
Bruno Nicolai,8
Bruce Robinson,4
Don Kranze,2
Terence Marsh,1
David Lean,16
Roy Stevens,3
George Richardson,2
Tony Rimmington,2
Roy Rossotti,1
Bryan Coates,2
Robert Mulligan,19
Joseph E. Kenney,3
Terry Mors,3
Jerry Ziesmer,3
Larry J. Franco,1
James J. Murakami,2
Richard Marquand,5
Wim Wenders,32
Carol Reed,17
Vebe Borge,2
Joseph P. Reidy,10
Jonathan Amberston,1
Akira Kurosawa,30
Bernard Cohn,1
Ishirô Honda,24
Takashi Koizumi,4
Okihiro Yoneda,3
Ichirô Yamamoto,1
Hilton A. Green,1
Lester Wm. Berke,1
Burt Bluestein,1
Alan Hopkins,3
Nigel Phelps,1
Terry Needham,5
Chris Thompson,1
Andrew Rothschild,1
Michael Hausman,1
John Ford,68
Jerry Grandey,2
Allan Wertheim,1
Elie Cohn,2
Joan Van Horn,1
Frederic B. Blankfein,2
Andrei Tarkovsky,11
Evgeniy Tsymbal,1
Larisa Tarkovskaya,1
Mariya Chugunova,1
