name,num_films
Ian McKellen,44
Jim Broadbent,78
Kristin Scott Thomas,52
Adrian Dunbar,11
Maggie Smith,53
Tim McInnerny,19
Robert Downey Jr.,70
Edward Hardwicke,16
Nigel Hawthorne,23
Jim Carter,34
Dominic West,30
Bill Paterson,24
Donald Sumpter,21
James Dreyfus,4
Derek Lyons,8
Larenz Tate,14
Keith David,87
Chris Tucker,12
Freddy Rodríguez,21
Rose Jackson,1
N'Bushe Wright,7
Clifton Powell,24
Terrence Howard,47
Bokeem Woodbine,29
Sticky Fingaz,6
Clifton Collins Jr,41
Elizabeth Rodriguez,17
Michael Imperioli,32
Meg Ryan,37
Sam Neill,64
David Thewlis,52
Polly Walker,17
Ian McDiarmid,19
Mary MacLeod,12
Willie Ross,9
Christopher Lambert,36
Robin Shou,10
Linden Ashby,21
Cary-Hiroyuki Tagawa,39
Talisa Soto,12
Trevor Goddard,5
Chris Casamassa,1
François Petit,1
Keith Cooke,8
Ed Boon,2
Nicole Kidman,60
Matt Dillon,51
Joaquin Phoenix,32
Casey Affleck,33
Illeana Douglas,37
Alison Folland,12
Wayne Knight,21
David Cronenberg,14
Kurtwood Smith,27
Holland Taylor,30
Maria Tucci,2
Tim Hopper,6
Winona Ryder,48
Ellen Burstyn,54
Kate Nelligan,19
Jean Simmons,34
Maya Angelou,4
Alfre Woodard,42
Kate Capshaw,14
Rip Torn,68
Johnathon Schaech,35
Joanna Going,12
Esther Rolle,9
Jared Leto,24
Claire Danes,26
Lecy Goranson,2
Tim Guinee,29
Derrick O'Connor,12
Loren Dean,13
Melinda Dillon,22
Richard Jenkins,74
Denis Arndt,11
Adam Baldwin,32
Michael McElroy,3
Ari Meyers,5
Jane Alden,3
Tamala Jones,19
Rae'Ven Larrymore Kelly,3
Alicia Goranson,2
Will Estes,8
Morgan Freeman,85
Gwyneth Paltrow,44
Kevin Spacey,56
Richard Roundtree,33
Richard Schiff,46
Julie Araskog,2
Mark Boone Junior,43
John Cassini,17
Reg E. Cathey,21
Peter Crombie,4
Hawthorne James,8
Michael Massee,18
Leland Orser,24
Richard Portnow,27
Daniel Zacapa,7
Alfonso Freeman,6
Harris Savides,2
Andrew Kevin Walker,3
Richmond Arquette,12
Pamala Tyson,3
Emily Wagner,4
Shannon Wilcox,10
George Christy,5
Endre Hules,8
William Davidson,1
Bob Collins,3
Dominique Jennings,2
Allan Kolman,6
Gene Borkan,4
Mario Di Donato,2
Harrison White,1
Bob Stephenson,13
Michael Reid MacKay,5
Lennie Loftin,12
Martin Serene,2
David Correia,3
Lexie Bigham,4
Evan Mirand,3
Paul Eckstein,1
Rachel Flanagan,2
Heidi Schanz,5
Brian Evers,2
James Deeth,2
Charles A. Tamburro,4
Arthur Max,1
Irene Bedard,9
Mel Gibson,47
David Ogden Stiers,44
John Kassir,20
Russell Means,13
Christian Bale,42
Judy Kuhn,3
Linda Hunt,17
Billy Connolly,38
Joe Baker,3
Michelle St. John,2
James Apaumut Fall,1
Gordon Tootoosis,14
Pascale Bussières,10
Rachael Crawford,8
Henry Czerny,20
Don McKellar,19
Stephen Baldwin,37
Gabriel Byrne,56
Chazz Palminteri,29
Pete Postlethwaite,43
Suzy Amis,14
Giancarlo Esposito,49
Benicio del Toro,42
Paul Bartel,32
Carl Bressler,3
Christine Estabrook,5
Clark Gregg,37
Morgan Hunter,2
Louis Lombardi,11
Frank Medrano,11
Ron Gilbert,3
Cynthia Rothrock,15
Marshall R. Teague,14
Daniel McVicar,3
Lydie Denier,5
John O'Leary,15
Art Camacho,5
Robert Miano,32
Woody Allen,56
Mira Sorvino,41
Helena Bonham Carter,57
F. Murray Abraham,46
Donald Symington,5
Claire Bloom,36
Olympia Dukakis,39
Michael Rapaport,54
Jack Warden,55
Peter Weller,31
Danielle Ferland,3
Enrico Lo Verso,17
Michele Placido,30
Piro Milkani,1
Carmelo Di Mazzarelli,1
Marjeta Ljarja,1
Olivia d'Abo,30
Jay O. Sanders,33
John Terry,14
Bug Hall,11
Jessica Robertson,2
Patrick Renna,11
Billy L. Sullivan,5
Chauncey Leopardi,8
Jordan Brower,4
Hayley Kolb,1
Haley Miller,2
Ashley Welch,1
Jennifer Jason Leigh,49
Mare Winningham,24
Max Perlich,29
John Doe,27
John C. Reilly,63
Jimmy Witherspoon,1
Jason Carter,5
Johnny Morina,3
Malcolm McDowell,90
Maggie Castle,8
James Rae,2
Michael Ironside,74
Charles Durning,70
Dylan McDermott,32
Geraldine Chaplin,62
David Strathairn,68
Cynthia Stevenson,16
Philippe Noiret,44
Massimo Troisi,5
Maria Grazia Cucinotta,10
Renato Scarpa,17
Linda Moretti,4
Mariano Rigillo,5
Anna Bonaiuto,13
Simona Caparrini,6
Carlo Di Maio,1
Nando Neri,1
Vincenzo Di Sauro,1
Orazio Stracuzzi,4
Sergio Solli,5
Alfredo Cozzolino,1
Lothaire Bluteau,16
Patrick Goyette,3
Jean-Louis Millette,1
Ron Burrage,2
Hal Scardino,3
Litefoot,4
Lindsay Crouse,23
Rishi Bhat,1
Steve Coogan,44
David Keith,39
Sakina Jaffrey,6
Vincent Kartheiser,15
Nestor Serrano,21
Sally Field,35
Kiefer Sutherland,59
Beverly D'Angelo,39
Charlayne Woodard,6
Joe Mantegna,49
Olivia Burnette,8
Alexandra Kyle,2
Philip Baker Hall,54
Natalija Nogulich,8
Armin Shimerman,18
Nicholas Cascone,5
Darrell Larson,10
Wanda Acuna,4
Sierra Pecheur,8
Glenne Headly,34
Jay Thomas,10
William H. Macy,74
Nicholas John Renner,1
Joseph Anderson,1
Anthony Natale,1
Jean Louisa Kelly,9
Damon Whitaker,4
Alexandra Boyd,4
Joanna Gleason,16
Beth Maitland,1
Joshua Minnick,2
Shawn Wayans,6
Marlon Wayans,21
Tracey Cherelle Jones,6
Chris Spencer,7
Vivica A. Fox,41
Rappin' Granny,1
Suli McCullough,2
Bernie Mac,27
Faizon Love,23
Keenen Ivory Wayans,9
Kim Wayans,5
Helen Martin,7
Virginia Watson,1
Darrel Heath,4
Sandra Bullock,39
Denis Leary,50
Yaphet Kotto,26
Stephen Dillane,31
Julia Montgomery Brown,3
Claire Rankin,5
Jane Moffat,6
Mike Starr,49
Jonathan Tucker,17
Wayne Robson,17
Michael Badalucco,21
Pauly Shore,21
Joey Lauren Adams,24
Teresa Hill,4
William Atherton,34
Dara Tomanovich,2
Kevin West,6
Denise Dowse,8
Kylie Minogue,11
Kyle Gass,13
Rose McGowan,19
Patrick Bergin,27
Matt Frewer,40
Austin O'Brien,6
